V,V_in,I_in,V_i,V_2x,T
0.25,0.2500354,0.0001112584,0.507484,0.258401,30.690001
0.25,0.2500359,0.0001112574,0.507508,0.258598,30.690001
0.25,0.2500372,0.0001112574,0.507593,0.258775,30.690001
0.25,0.2500362,0.0001112582,0.507609,0.258614,30.700001
0.25,0.2500373,0.0001112583,0.507556,0.258671,30.709999
0.25,0.2500373,0.0001112582,0.507476,0.258844,30.719999
0.25,0.2500359,0.0001112595,0.507649,0.258538,30.74
0.25,0.2500359,0.0001112595,0.507677,0.258739,30.74
0.25,0.2500366,0.0001112581,0.50748,0.258554,30.74
0.25,0.2500381,0.0001112585,0.507544,0.258779,30.73
0.25,0.2500344,0.0001112584,0.507649,0.258622,30.74
0.25,0.2500359,0.0001112588,0.507584,0.258594,30.75
0.25,0.250036,0.0001112579,0.50752,0.258908,30.74
0.25,0.2500357,0.0001112582,0.507476,0.258755,30.75
0.25,0.250035,0.0001112591,0.507588,0.258807,30.76
0.25,0.2500361,0.000111259,0.507536,0.259009,30.75
0.25,0.2500353,0.0001112592,0.507443,0.258812,30.76
0.25,0.2500364,0.0001112589,0.507637,0.258771,30.76
0.25,0.2500352,0.000111258,0.507649,0.259005,30.780001
0.25,0.2500364,0.0001112576,0.507452,0.258739,30.780001
0.25,0.2500368,0.0001112577,0.507605,0.258759,30.790001
0.25,0.2500364,0.0001112585,0.507665,0.258574,30.799999
0.25,0.2500373,0.000111258,0.507516,0.25911,30.83
0.25,0.2500369,0.0001112566,0.507605,0.258642,30.83
0.25,0.2500368,0.0001112575,0.507476,0.258735,30.84
0.25,0.2500371,0.000111256,0.507456,0.25884,30.82
0.25,0.250038,0.000111255,0.507576,0.258787,30.82
0.25,0.250037,0.0001112556,0.507609,0.258977,30.83
0.25,0.2500374,0.000111255,0.507508,0.258755,30.860001
0.25,0.2500357,0.0001112548,0.507556,0.258944,30.860001
0.25,0.2500383,0.0001112543,0.507456,0.258892,30.879999
0.25,0.2500379,0.0001112541,0.507512,0.258856,30.889999
0.25,0.2500377,0.0001112526,0.507593,0.25894,30.889999
0.25,0.2500377,0.0001112519,0.507464,0.25884,30.889999
0.25,0.2500383,0.0001112523,0.507492,0.259017,30.889999
0.25,0.2500376,0.000111251,0.507641,0.25892,30.879999
0.25,0.2500369,0.0001112522,0.507492,0.258727,30.889999
0.25,0.2500387,0.0001112521,0.507669,0.258618,30.9
0.25,0.2500382,0.0001112512,0.507476,0.258465,30.92
0.25,0.2500379,0.000111251,0.507516,0.258364,30.940001
0.25,0.2500358,0.0001112503,0.507625,0.258683,30.950001
0.25,0.2500361,0.0001112503,0.507576,0.258256,30.969999
0.25,0.2500359,0.0001112499,0.507605,0.258457,30.99
0.25,0.2500356,0.0001112502,0.507411,0.25859,31.0
0.25,0.2500369,0.0001112494,0.507693,0.258727,31.02
0.25,0.250038,0.0001112485,0.507572,0.25861,31.01
